ID,lon,lat,blue_p50,green_p50,nir_p50,nira_p50,re1_p50,re2_p50,re3_p50,red_p50,swir1_p50,swir2_p50,VV_p50,VH_p50,TARGET
15,-3.299197628,36.74877572,2506,2729,5042,4935.5,3046,4632,4950,2554,3189.5,2416.5,-6.069929,-12.088101,1
16,-3.313121515,36.75174016,3428,3777,4606,4426,4099.5,4420.5,4440,3931,4148.5,3425,-8.967607,-14.021154,1
17,-3.95110503,36.73287554,5096,5216,5838,5831,5544,5685,5855.5,5178,4575,3656.5,-8.243756,-12.44422,1
18,-3.965118748,36.73718745,5074,5326,5698,5782,5990.5,5858,5848,5566,5396,4511,-10.731028,-15.413199,1
19,-3.953710144,36.7413197,5118,5228,6132,6172.5,5847,6178,6200.5,5336,5019,4191,-6.9207582,-12.836319,1
20,-3.972664597,36.74652993,2532,2723,4101,3943.5,2919,3730,3929.5,2666,2822.5,2261,-5.8731,-12.784161,1
21,-2.986583909,36.83025291,2483,2804,4948,4757.5,3080.5,4441.5,4789.5,2724,3124,2289.5,-5.9869437,-12.079813,1
22,-2.983619469,36.84264966,3412,3777,5082,5052.5,4223,4688,4917,3887,4382.5,3623.5,-7.6593513,-12.510749,1
23,-3.057371154,36.75039268,4784,4910,5746,5458.5,5103,5417.5,5477,5034,4572,3680,-8.095361,-14.702772,1
24,-3.059437279,36.75182999,4101,4286,4772,4714,4618.5,4657.5,4683.5,4424,4154.5,3219.5,-7.634005,-14.263569,1
25,-3.058628795,36.75766904,2844,3060,5540,5533,3313,5194,5632,2930,3339,2439,-6.474399,-13.044628,1
26,-3.158521455,36.75048252,5138,5302,5622,5582.5,5829.5,5697,5675.5,5494,5109,4364,-10.101968,-14.050719,1
27,-3.159689265,36.75263847,5784,6024,6556,6196.5,6253,6344.5,6394.5,6124,5195,4479.5,-6.265636,-13.527813,1
28,-3.164001178,36.76135213,4382,4668,5588,5489,5067,5385.5,5539,4824,4376.5,3234.5,-4.402242,-11.580337,1
29,-3.203257556,36.76422674,4822,4896,5512,5505,5343,5472,5489.5,4928,4302.5,3477.5,-7.1490097,-11.817363,1
30,-3.165618145,36.76602337,4830,5020,5894,5760,5320.5,5651.5,5742,5100,4738.5,3789.5,-6.4759545,-10.866545,1
31,-2.390372055,36.83645129,2830,3104,3840,3822.5,3512.5,3625.5,3717,3350,3817.5,3126.5,-10.918089,-16.701218,1
32,-2.384622837,36.85172265,4396,4652,5372,5376,5143,5361,5392,4792,4612,3871,-6.8308325,-14.103913,1
33,-2.401151839,36.86250243,5320,5696,6308,5614,5687,5695,5656,5812,4980,4335,-7.932002,-14.087248,1
34,-2.384712669,36.86510755,5020,5244,5476,5392,5140,5349,5429,5280,4365,3795,-8.206388,-13.704931,1
35,-2.380580419,36.87112626,4708,4864,5060,5030,5028,5024,5103,4940,4262,3543,-4.8964005,-13.1438,1
36,-2.375460022,36.87184491,4988,5076,5184,5155,5198,5199,5278,5064,4288,3628,-7.006363,-12.654648,1
37,-2.791559661,36.78183372,4908,5274,5802,5642,5894,5712.5,5669,5620,5554.5,4687,-7.885205,-17.484415,1
38,-2.845009421,36.78479816,3642,3908,5048,4977,4245,4781,4981,3912,3984,3092,-7.102958,-13.445877,1
39,-2.78563078,36.7891999,2881,3157,4202,4241.5,3474.5,4088.5,4289.5,3178,3488,2679.5,-7.455313,-14.052567,1
40,-2.79326646,36.79333215,3024,3368,5716,5768,3831,5327,5736,3284,3737,2726,-6.5195546,-14.249379,1
41,-2.799285173,36.7974644,4400,4972,5684,5669,5198,5549,5668,4884,4769,3907,-7.8105574,-13.997755,1
42,-2.826054968,36.80096783,4828,4908,5848,5665,5132,5582,5654,4980,4554,3509,-5.3044667,-12.351816,1
43,-2.861268927,36.81183745,3298,3586,4252,4142,4037,3997,4070,3928,4448,3900,-8.240541,-14.06493,1
44,-2.632557856,36.78785243,4240,4552,5296,5246,5175,5125,5181,4896,5114,3963,-8.275344,-15.299316,1
45,-2.632018867,36.79225418,4584,4872,5720,5569,5020,5423,5547,4960,4593,3619,-7.540104,-13.327401,1
46,-2.644325786,36.792883,4908,5178,5600,5503,5641,5517.5,5547,5420,5154.5,4329,-9.062198,-14.980319,1
47,-2.629054426,36.81273576,5044,5328,5848,5724,5815,5793,5641,5588,5347,4255,-8.717792,-16.279062,1
48,-2.70568072,36.78039641,3281,3675,6704,6664.5,4183,5998.5,6693.5,3434,3618,2529,-3.6925235,-12.969969,1
49,-2.702267122,36.78722361,4164,4344,5420,5345,4736,5241,5309,4404,4351,3440,-6.25473,-13.154458,1
50,-2.765867844,36.79423047,2901,3268,5868,5853.5,3772.5,5406.5,5788.5,3229,3693,2726,-5.6415763,-14.521642,1
51,-2.727869108,36.79584744,4342,4592,5584,5494,5006.5,5327.5,5458.5,4652,4646,3744,-8.504444,-14.410456,1
52,-2.76505936,36.79836272,4508,4708,5460,5148,4863,5027,5112,4820,4539,3541,-4.892351,-12.617375,1
53,-2.735145461,36.7994407,3756,4078,5372,5259,4548,4834,5076,4252,4188,3285,-7.1660237,-13.666234,1
54,-2.755177892,36.80033901,2379,2986,4170,4086,3985,4039.5,4138.5,3773,4249.5,4095.5,-7.986404,-15.732574,1
55,-2.975624463,36.74078071,2609,2908,5682,5637,3233,5047,5599.5,2871,3380,2395.5,-6.620337,-12.8064,1
56,-2.980295702,36.74230785,2732,3006,5788,5691,3258,5083,5637.5,2919,3475,2625,-7.870698,-13.976753,1
57,-2.974546485,36.74419431,2883,3114,5912,5900.5,3637.5,5417,5947,3036,3567.5,2480,-6.9984207,-13.4143,1
58,-2.98191267,36.7447333,2709,2955,3607,3680.5,3236,3572,3655.5,3042,3287.5,2778.5,-9.223142,-14.256757,1
59,-3.007334992,36.74509262,3690,3927,4982,5036.5,4319.5,4771.5,4969,4003,4027.5,3267,-5.482821,-15.926838,1
60,-2.977510925,36.74545195,3757,4011,4882,4959,4457,4742.5,4968,4204,4262.5,3441,-10.074468,-15.006668,1
61,-2.987392393,36.74608077,3767,4074,5028,4938.5,4329,4707,4877,4144,4052.5,3223.5,-7.5482683,-14.362731,1
62,-3.004999373,36.74652993,4790,5008,5442,5399.5,5544,5453.5,5436.5,5270,4922,4079.5,-10.66022,-16.57799,1
63,-2.982990648,36.74679942,2706,3107,4836,4757,3572,4537,4796,3154.5,3495.5,2646,-4.407229,-13.149216,1
64,-2.9837093,36.74796723,5714,5892,6346,6244.5,6187,6281,6311.5,5954,5128,4148.5,-6.912604,-14.663743,1
65,-3.052250757,36.74859605,4121,4286,5062,4805.5,4668,4815.5,4900.5,4402,4302.5,3634.5,-9.6595,-14.990819,1
66,-3.002124764,36.74922487,2793,3089,5396,5370.5,3530.5,4954,5372,3095,3733,2951.5,-7.8366995,-12.319378,1
67,-2.975175305,36.74940454,4588,4876,5566,5533.5,5046.5,5452.5,5681.5,4994,4652,3786,-6.8226767,-14.061168,1
68,-3.028714896,36.74985369,4788,5142,5528,5438,5615.5,5387.5,5492,5336,5014.5,4316,-9.212219,-13.679664,1
69,-2.993321274,36.75012319,4031,4420,4972,4941.5,4853.5,4911,4932.5,4646,4526,3810.5,-9.437727,-15.715593,1
70,-2.988739866,36.75057235,2965,3339,5698,5567.5,3831,5159,5580,3392,3824,2886,-6.0408516,-12.654875,1
71,-3.033296304,36.75093167,4784,4848,5764,5820,4772,5623,5713,4860,4104,3175,-7.5522547,-13.479208,1
72,-2.991255149,36.7510215,3173,3452,5364,5111.5,3779,4800.5,5150.5,3481,3851,3090.5,-6.681541,-12.568206,1
73,-2.980565197,36.75191982,2976,3364,6182,5832,3801.5,5374,5924.5,3216,3558,2636.5,-7.56414,-13.12167,1
74,-2.970414234,36.75245881,4304,4694,5644,5536.5,5220.5,5379,5438,4880,4652,3749,-6.973384,-14.850329,1
75,-3.000238302,36.75290797,2695,3105,5964,5567.5,3374.5,5047,5525,3024,3610,2633,-7.017579,-13.422945,1
76,-2.968078614,36.75317746,5202,5624,6144,6233.5,6428,6325.5,6275.5,5968,5819.5,5067.5,-9.655398,-16.95987,1
77,-2.995656894,36.75398594,2701,3019,5264,5253.5,3514.5,4874.5,5292.5,3068,3784,2836.5,-5.227093,-11.707915,1
78,-3.047130359,36.7544351,5026,5248,5874,5499.5,5337.5,5578.5,5591.5,5360,4602.5,3874.5,-8.888971,-14.277477,1
79,-2.975624463,36.7547046,5526,5700,5986,5791.5,6029,5865,6085,5826,4788,4063.5,-7.675421,-15.524658,1
80,-3.040662489,36.75488426,3546,3832,5048,5103,4335,4788,5005,4028,4171,3270,-6.845285,-12.753452,1
81,-2.992333127,36.75551308,4178,4566,5640,5518.5,4939.5,5267.5,5410,4750,4566,3792.5,-9.043084,-13.70869,1
82,-3.004101057,36.75587241,2708,3040,4976,5048,3418,4623,5093,3040,3634,2792,-6.846365,-13.263186,1
83,-2.994578915,36.7564114,4326,4414,4916,4879.5,4810.5,4887.5,4858,4548,4426,3614.5,-9.157537,-17.206158,1
84,-3.011646906,36.75721988,2794,2968,5552,5339,3335,4743,5336,3082,3652,2983,-5.7627087,-12.771554,1
85,-3.013713031,36.75793853,2649,2866,5758,5165,3098,4678,5205.5,2775,3366,2583,-6.5848436,-13.467486,1
86,-3.010299433,36.75982499,2939,3290,5458,5339.5,3736,4922,5276,3390,3869.5,2847.5,-5.913687,-12.41747,1
87,-2.966461647,36.76189112,4234,4598,5684,5705,5026,5571,5713,4656,4734,3801.5,-7.392295,-13.749179,1
88,-3.000238302,36.76225045,2568,2918,5516,5707,3325,5076,5609,2902,3671,2688,-5.508221,-12.995374,1
89,-2.988919529,36.76332842,3260,3535,5736,5580.5,3838.5,5226.5,5615,3502,3783.5,2782.5,-5.9646125,-12.67231,1
90,-2.994399252,36.76413691,3313,3592,4940,4789,3888,4434,4712,3752,3795.5,2957,-6.3310537,-13.184363,1
91,-3.005718025,36.76458607,6256,6504,7158,6569,6777.5,6731.5,6874.5,6546,5520,4732.5,-7.2390566,-14.536832,1
92,-2.982900817,36.76764034,4330,4630,5656,5591,5045.5,5414,5563,4778,4508,3620,-6.367495,-13.557271,1
93,-3.012275726,36.76871832,3655,3894,5228,5208,4088,4917.5,5166,3805,3698,2780,-5.740042,-11.843418,1
94,-2.969515919,36.76961663,3708,4020,5748,5651,4541.5,5286.5,5688,4118,3766.5,2968,-7.435395,-13.347502,1
95,-2.97427699,36.76988613,3259,3682,6312,6217.5,4266.5,5812,6182.5,3715,3919,2852,-6.2852073,-14.519215,1
96,-2.979397387,36.7729404,3039,3456,5986,5998.5,3813.5,5557,6014,3275,3872.5,2800.5,-5.515974,-11.9935665,1
97,-2.963407375,36.77347939,3099,3707,7422,7506.5,4625.5,6666.5,7331,3997,5841.5,5511,-6.57278,-14.168769,1
98,-2.997453524,36.77509635,4276,4550,6204,6068,4791.5,5816.5,6079,4562,4572.5,3730.5,-6.6106873,-12.56707,1
99,-2.111894317,36.9652697,2731,2985,4434,4397,3316,4204,4404,2975,3339,2617,-6.861251,-12.522638,1
100,-2.13201658,36.9686833,3605,3997,5380,5342,4396,5157,5370,4170,4045,3202,-6.0871654,-11.527519,1
101,-2.10380948,36.97551049,4282,4462,4940,4941,4925,4953.5,4984,4634,4594,4027.5,-9.372229,-14.74601,1
102,-3.431609301,36.69721242,3052,3480,4098,3948.5,3910,3921.5,3950,3916,3943.5,3276.5,-10.897324,-18.820076,1
103,-3.444545041,36.69855989,4620,4864,5116,5193,5431,5327,5221.5,5028,4720,3882.5,-6.716078,-12.965828,1
104,-3.478950517,36.69963787,5428,5592,6004,5738.5,6103,5956,5856,5812,5242.5,4257.5,-8.464836,-13.95689,1
105,-3.457301118,36.70125484,3847,4288,5438,5539.5,5251,5354,5465,4712,5001,4112.5,-9.344748,-14.817187,1
106,-3.452180721,36.70332096,3242,3682,4304,4138.5,4163.5,4134,4165,4108,4055.5,3353.5,-11.095612,-15.751835,1
107,-3.430261828,36.70394978,4360,4496,4938,4873.5,5060.5,4892,4946,4820,4538.5,3754,-8.865102,-17.527498,1
108,-3.453707857,36.70907018,4019,4324,4936,4814,4906.5,4869,4877,4648,4704,3836,-9.067034,-14.52277,1
109,-3.456133308,36.71122614,3982,4310,4666,4566,4559.5,4538,4584.5,4578,4359.5,3657.5,-10.091181,-14.612982,1
110,-3.451102743,36.71472957,4350,4582,4914,4733.5,5018.5,4962,4840,4868,4452,3778,-11.890021,-16.359562,1
111,-3.430800817,36.71562788,2920,3271,3740,3603.5,3513,3503.5,3586.5,3471,3665,2989,-9.99354,-14.766049,1
112,-3.482992935,36.71958047,4025,4590,7566,7379.5,5401,6860,7171.5,4908,7796.5,8290.5,-5.878714,-12.047458,1
113,-3.459367243,36.72470087,3845,4043,4478,4494,4603,4457.5,4545,4265,4104.5,3420.5,-10.087483,-15.579536,1
114,-3.468619891,36.72847379,5214,5222,6196,6035.5,5602.5,6073.5,6196.5,5216,4771.5,3878,-8.472063,-14.753555,1
115,-2.957298831,36.81237644,2578,2726,4800,4773,3012,4292,4722,2605,3040,2322,-5.1163025,-10.903415,1
116,-2.885613271,36.81453239,4516,4808,5232,5178,5183,5050,5139,4952,5038,4092,-9.528168,-15.123607,1
117,-2.934122297,36.82701898,7028,7280,7566,7213,7386,7305.5,7266.5,7604,6245.5,5489.5,-7.265306,-13.489834,1
118,-2.934840949,36.83465466,2835,3074,4904,5041.5,3427,4656,5022,2976,3479.5,2642.5,-5.4501076,-10.169581,1
119,-2.8908235,36.8393259,2937,3241,4064,3999.5,3724.5,3747,3844,3584,4936,4276,-7.1038213,-11.548349,1
120,-2.886870913,36.84336832,4723,4884,5964,5592.5,5594,5488.5,5523.5,5334,5557,4671,-8.623948,-13.247848,1
121,-2.300091369,36.86223294,4664,4924,5516,5418,5267,5366,5462,4996,4563,3641,-8.419121,-12.746811,1
122,-2.878157255,36.72667716,4384,4520,5668,5532,4805,5230,5442,4500,4115,3249,-7.5508947,-15.319382,1
123,-2.87788776,36.73431284,3026,3378,5810,5597,3860.5,5168,5670.5,3338,3659,2649,-5.408927,-13.564377,1
124,-2.877079276,36.7364688,2996,3354,4950,5029.5,3875.5,4750.5,5002,3563,3813.5,3013.5,-7.090773,-16.012817,1
125,-2.889925185,36.73916374,4030,4240,5252,5138,4411,5036,5181,4184,3994,3106,-6.7715936,-14.038248,1
126,-2.892799794,36.74149936,3396,3791,5532,5529.5,4076,5292.5,5506,3794,4092.5,3027,-7.878808,-14.421838,1
127,-2.887499734,36.74248751,3560,3876,5644,5755,4285,5387.5,5779,3986,4111,3285,-8.099189,-13.915534,1
128,-2.874025004,36.74374515,3474,3756,5280,5337,4286,4976,5198,3724,4049,3136,-8.043313,-14.718066,1
129,-2.886421755,36.74518246,5544,5708,6136,5452,5416,5720,5547,5760,4839,4159,-8.072119,-16.169424,1
130,-2.87555214,36.74563161,2560,2980,5748,5813,3489,5135,5714,2906,3465,2582,-6.5272565,-13.2181425,1
131,-2.888847206,36.7464401,3171,3472,6270,6169.5,4001.5,5472.5,6182,3428,3999.5,2972.5,-7.413324,-13.501501,1
132,-2.954783548,36.74751807,3966,4298,5068,5102.5,4869.5,5102,5125.5,4386,4358,3422,-10.486376,-16.447025,1
133,-2.886242092,36.74841639,4008,4288,5340,5242,4761,5048,5169,4336,4414,3516,-8.56844,-14.883402,1
134,-2.961251418,36.74931471,4868,5174,5526,5561,5874.5,5641,5678,5464,5228,4508,-10.293866,-16.294432,1
135,-2.87141989,36.75048252,3002,3286,5974,5842.5,3542.5,5140.5,5731.5,3248,3502.5,2436,-6.668203,-14.433221,1
136,-2.892260805,36.75191982,3181,3593,4912,5008.5,4157.5,4781.5,4989.5,3724,4225,3421,-6.0490365,-14.8500395,1
137,-2.963227712,36.75245881,4972,5182,5416,5387,5513.5,5396,5386,5330,4853,3970.5,-8.49406,-16.333399,1
138,-2.937625726,36.75290797,3137,3365,3999,3913.5,3762,3930,3969.5,3496,3697,3049.5,-9.129338,-17.356518,1
139,-2.960263272,36.75317746,4240,4588,5278,5276,5283,5191,5237,4880,5044.5,4094,-10.117306,-17.122671,1
140,-2.942835955,36.75362662,3336,3502,5722,5617.5,3763,5303,5636.5,3343,3471.5,2534,-5.819653,-13.357145,1
141,-2.956849673,36.75407578,2689,3021,4158,4148.5,3223.5,3972,4191.5,3021,3209,2465.5,-7.226323,-13.412065,1
142,-2.950022477,36.75497409,2881,3329,4792,4757,3764.5,4446,4631,3467,3890,3168.5,-8.796906,-15.640009,1
143,-2.936188422,36.75560291,3036,3239,6050,5544.5,3521,5133,5579.5,3154,3477.5,2578.5,-5.109777,-14.788038,1
144,-2.962958217,36.75596224,2749,3110,5558,5395,3622,4978.5,5443.5,3043,3652.5,2695.5,-7.4411225,-13.322912,1
145,-2.901782947,36.75677072,2672,3053,6042,5939,3487.5,5362,5851,3041,3536,2614,-5.802033,-12.091947,1
146,-2.928552742,36.75775887,3456,3713,4202,4202.5,4231.5,4227.5,4299,3976,4334,3670.5,-6.464289,-18.181149,1
147,-2.917683127,36.75919617,4466,4882,5626,5985.5,5870.5,5977,6012.5,5044,5091,4102.5,-4.258348,-17.157211,1
148,-2.954514054,36.76027415,3583,3887,5116,4933,4377.5,4778.5,4943,3987,4153.5,3321.5,-6.748611,-13.743315,1
149,-2.96250906,36.76063348,3063,3335,5792,5646,3711,5120,5628.5,3271,3679.5,2663.5,-5.1120453,-13.304603,1
150,-2.941847808,36.7609928,4142,4364,4934,5005,4978.5,4970,4961,4670,5038.5,4051.5,-2.8300712,-15.092332,1
151,-2.928822237,36.76162162,3189,3300,6218,5890,3508,5111,5844,3220,3574,2695.5,-0.88003427,-11.863385,1
152,-2.9090593,36.76180129,3940,4192,4672,4603,4645,4540,4516,4500,4563,3832.5,-6.677961,-18.266636,1
153,-2.962688723,36.76323859,4928,5326,6236,6024,5891,6027.5,6070,5546,5180.5,4281.5,-8.510069,-14.627143,1
154,-2.871689385,36.76404708,3620,4152,5076,5133,4922,4996,4957,4552,5348,4432,-11.027266,-17.692625,1
155,-2.885253945,36.7646759,3658,4004,4632,4787,4651.5,4598.5,4720.5,4316,4854,3932,-9.234401,-16.069672,1
156,-2.917144138,36.76503522,2911,3304,6214,5757,3704.5,5288.5,5690.5,3127,3700,2804,-5.4171743,-13.563351,1
157,-2.942476629,36.76584371,3124,3242,6074,5959,3572,5172.5,5768.5,3098,3658,2669,-6.357693,-14.284072,1
158,-2.902232104,36.76817933,3297,3617,5082,4939.5,3993.5,4746,4977,3686,3897,2980,-6.7961884,-13.760343,1
159,-2.962688723,36.76880815,2818,3152,5260,5212.5,3517.5,4950,5222.5,3044,3281.5,2429.5,-7.179151,-12.058883,1
160,-2.894506593,36.77033528,2889,3227,6200,5830,3555,5286.5,5779.5,3115,3675,2722.5,-4.8677783,-12.490592,1
161,-2.878157255,36.7746472,2889,3235,6466,6450.5,3783,5731.5,6393,3125,3921.5,2830,-5.0164804,-12.710772,1
162,-2.195796965,36.82001212,3312,3546,6040,6147,4081.5,5580,6091.5,3524,3489,2577.5,-7.088313,-13.590054,1
163,-2.164535593,36.8208206,5112,5328,6280,6279,5961,6266,6384,5552,4993,3999,-5.7639203,-11.514913,1
164,-2.212954787,36.82297656,3850,4136,6208,6185,4578,5745,6165,4060,4089,3038,-6.961812,-11.656832,1
165,-2.189508758,36.82522235,3420,3654,5496,5366,3996,5043,5327,3714,3966,2980,-5.6835465,-11.422837,1
166,-2.204061465,36.82674948,3578,3916,5120,5203,4682,5008,5024,4276,4766,3758,-7.9700727,-13.73546,1
167,-2.170015316,36.83034274,6536,6760,7280,6956,6930,6992,7014,6952,6046,5273,-7.1789045,-13.354481,1
168,-2.135789504,36.83213937,3478,3910,5616,5606,4580,5418,5585,4054,4511,3321,-7.2095313,-12.2146435,1
169,-2.22256676,36.83645129,3057,3354,5770,5701.5,3681.5,5215.5,5682.5,3290,3564,2557.5,-5.8172855,-11.0154915,1
170,-2.201905509,36.86151428,3048,3418,5396,5572,3879,5131,5449,3414,3834,2758,-6.9355993,-11.930851,1
171,-2.214122597,36.86528721,2554,2853,5302,5163.5,3118,4687,5169.5,2799,3400,2472,-6.012739,-12.5100975,1
172,-2.844290768,36.70960917,4420,4472,5636,5453,4764,5250,5427,4568,4568,3635,-5.3323307,-13.546946,1
173,-2.849051839,36.71401091,2645,2893,6238,6182,3352.5,5422,6155.5,2796,3305,2354,-6.9092584,-13.588142,1
174,-2.840517844,36.71517872,4254,4550,5272,5288.5,5123.5,5155.5,5224,4800,5138,4089.5,-9.867338,-16.821178,1
175,-2.824797327,36.71562788,3854,4027,5298,5195.5,4397,4905,5120,4098,4021.5,3028.5,-6.2477794,-13.63186,1
176,-2.803507254,36.71589738,3950,4265,6010,6234.5,5203,5846.5,6052,4723,6512.5,6638.5,-5.959635,-14.224082,1
177,-2.815904005,36.71616687,4148,4312,6008,5963,4755,5756,5992,4328,4330,3200,-6.9111333,-13.4416065,1
178,-2.824707495,36.7165262,3382,3589,5776,5732,3893.5,5258.5,5707.5,3551,3301.5,2297.5,-5.7666044,-13.480881,1
179,-2.828749914,36.71679569,4980,5308,5992,5896,5873,5878,5916,5660,5334,4087,-8.566106,-14.823695,1
180,-2.845278915,36.71778384,3230,3578,4388,4372,4128,4167,4243,3976,4613,3695,-10.626597,-16.943388,1
181,-2.809795461,36.71814316,4072,4422,5148,5301.5,5173.5,5141.5,5299,4854,5048,4275,-9.299088,-17.31783,1
182,-2.780779878,36.71877199,4038,4484,5220,5169,5156,5109,5189,4864,5120,4149,-9.88687,-16.788683,1
183,-2.814646364,36.72083811,5048,5300,5636,5544,5715,5650,5583,5544,5360,4433,-9.973838,-17.456558,1
184,-2.822012549,36.72101777,3614,3866,4684,4535,4220,4395,4432,4292,4326,3279,-10.40849,-16.51499,1
185,-2.865491009,36.72398221,4240,4540,5760,5646,4945,5332,5556,4584,4490,3536,-8.112258,-15.228852,1
186,-2.868904607,36.72541952,4213,4358,4580,4309,4460,4435,4386,4402,3846.5,3179.5,-6.871526,-15.231693,1
187,-2.836834751,36.72640767,3741,3874,4622,4532,4129.5,4490.5,4549,3888,3785.5,3075,-7.377776,-14.290717,1
188,-2.865131683,36.72712632,3455,3723,4428,4443.5,4119.5,4313,4436,3815,3832.5,3077,-9.580507,-15.648349,1
189,-2.858034992,36.72766531,4226,4664,5438,5475.5,5325.5,5362.5,5384.5,4970,4999,4053,-9.95293,-17.142315,1
190,-2.854172236,36.72802463,3148,3432,5892,5533,3901,5129,5644,3444,3668,2597,-7.9466505,-13.696297,1
191,-2.862346906,36.72847379,4208,4542,5400,5370.5,4974,5184,5374.5,4672,4262,3402,-6.868672,-14.185852,1
192,-2.832882164,36.72865345,2752,3074,5498,5467,3443,5085.5,5497,2942,3395.5,2495,-8.224525,-13.6983185,1
193,-2.779791731,36.72928227,2440,2614,5552,5461,2896,4864,5467,2388,2959,2034,-7.3147693,-13.47606,1
194,-2.864682525,36.72946194,3784,4136,6216,6039,4364,5635,6054,4132,3162,2257,-7.5004115,-13.670046,1
195,-2.820575245,36.7299111,3993,4334,5026,5043,4948,4898,5016.5,4622,4841,3848,-8.80155,-17.918434,1
196,-2.815454848,36.73053992,2604,2846,5576,5666,3306,5128,5613,2790,3298,2384,-5.968318,-14.796726,1
197,-2.834229637,36.7313484,2556,2786,5716,5562,3112,4801,5658,2726,3317,2454,-6.67339,-14.961259,1
198,-2.825246484,36.73233655,2876,3085,5020,4945,3443,4634.5,5020,3055,3591,2706.5,-4.3595753,-14.3300495,1
199,-2.868635113,36.73314503,2938,3204,6392,6269,3604,5587,6307,3116,3505,2461,-5.2482004,-13.9347925,1
200,-2.804315738,36.73404335,2986,3274,6352,6366,3665,5835,6485,3032,3253,2192,-6.1890125,-14.215207,1
201,-2.853992573,36.734762,2924,3214,4676,4512,3372,4348,4673,3094,3272,2463,-8.015651,-14.858797,1
202,-2.850758638,36.73503149,4110,4308,4992,5110,4869.5,4947.5,5096,4504,4530,3673.5,-9.49657,-16.429962,1
203,-2.810963271,36.73637897,4296,4472,5596,5551,4744,5369,5585,4648,4662,3695,-7.708245,-14.627979,1
204,-2.787337579,36.73808576,4498,4754,5844,5565,5156,5415,5545.5,4824,4528,3712,-6.482302,-14.9324045,1
205,-2.84024835,36.73853492,4432,4688,5620,5506,5242,5489,5577,4748,4684,3720,-6.803016,-13.79035,1
206,-2.834499132,36.73880442,2708,2968,6368,6108,3307,5410,6079,2786,3140,2170,-6.7519135,-11.599242,1
207,-2.838990708,36.74015189,2526,2752,6000,5782,3111,5007,5839,2620,3126,2224,-5.596103,-12.866217,1
208,-2.791379998,36.74078071,4172,4500,5398,5415,5302,5267.5,5304,4906,5261.5,4103,-9.708519,-18.41521,1
209,-2.864862188,36.74114004,4456,4734,5854,5632.5,4706.5,5274,5542.5,4856,4184,3319,-8.035839,-14.805949,1
210,-2.802159782,36.74140953,2908,3114,5760,5630,3554,5073,5554,3196,3597,2656,-6.678626,-13.698688,1
211,-2.825785473,36.74383498,2667,3066,5990,6012,3344.5,5373,5974.5,2995,3578.5,2628.5,-7.5223036,-13.349227,1
212,-2.853902742,36.74392481,6156,6370,7176,6886.5,6594,6697,6859.5,6510,5326.5,4449,-8.662419,-14.235611,1
213,-2.862706232,36.74464347,4224,4352,5288,5391,4850,5340,5524,4308,4228,3348,-4.9698167,-13.121607,1
214,-2.79676989,36.74500279,2672,2936,6736,6666,3327,5750,6698,2734,3425,2353,-5.40183,-13.454778,1
215,-2.8062022,36.74572144,2131,2548,3907,3930.5,3335.5,3518.5,3724.5,3033,4038.5,3455,-9.806403,-18.835323,1
216,-2.809885293,36.74661976,3276,3552,6772,6747,3966,5981,6690,3406,3558,2381,-7.220189,-14.540372,1
217,-2.859292634,36.74859605,3501,3746,5890,5778,4325,5652,5922,3647,3580.5,2590,-5.5730014,-14.716604,1
218,-2.841326328,36.74886555,4264,4600,5212,5187,5051,5056,5066,4864,5364,4328,-11.084425,-15.323368,1
