article_text,category
"b'Hundreds vie for best film Oscar\n\nA total of 267 films are eligible for the best film Oscar but only five will be chosen to go forward as nominees.\n\nThe Academy of Motion Picture, Arts and Sciences has sent out the first ballot papers with the full list of films vying for recognition. Among those expected to receive nominations are The Aviator, Million Dollar Baby and Sideways. Academy members will now vote for their favourites before the final nominees are announced on 25 January.\n\nTo be eligible for nomination a film must have been shown in a commercial theatre for seven consecutive days before the deadline of 31 December. Director Martin Scorsese\'s The Aviator, starring Leonardo DiCaprio went on general release on Christmas Day in the US, ensuring it just made the deadline. Studios have already begun lobbying voters, taking out full page adverts in trade publications such as Variety urging them to remember particular films when it comes to choosing what to back. Other movies tipped for possible success include Closer, starring Jude Law and Julia Roberts, Finding Neverland, with Johnny Depp as author JM Barry and Kinsey starring Liam Neeson as the famed sex scientist Alfred Kinsey. Meanwhile, design engineer Takuo Miyagishima will be awarded an Oscar at the Scientific and Technical Awards Dinner on 12 February 2005. Miyagishima is the 18th recipient of the Sawyer Award, which is ""presented to an individual in the motion picture industry whose technological contributions have brought credit to the industry."" The main Oscar ceremony will be held in Los Angeles on 27 February.\n'",/Arts & Entertainment/Movies
"b'Hanks greeted at wintry premiere\n\nHollywood star Tom Hanks was in London\'s Leicester Square for the UK premiere of Polar Express.\n\nThe West End landmark was turned into a festive landscape complete with snow and carol singers to celebrate the arrival of the animated film. ""This is Leicester Square like you\'ve never seen it before,"" said Hanks, who plays five roles in the movie. Polar Express is based on a children\'s book which tells the story of a young boy\'s journey to meet Santa Claus. The 48-year-old actor crossed a three-metre high bridge built in the square, which he said was ""almost impossible to get across"". Hundreds of fans greeted the star, all wearing Santa hats, and mince pies were on offer. Hanks said that the new film has an ""elegant message"". ""Christmas is a special time of the year and you get out of it what you put into it,"" added the two-time Academy Award winner.\n\n""I believe in the spirit of Christmas and I think that\'s embodied in Santa Claus,"" he said. Polar Express uses technology similar to that used in Lord of the Rings to bring Gollum to life. The ""performance capture"" technique enables Hanks to play a number of roles, including the eight-year-old boy who is at the centre of the story, and Father Christmas. It is directed by Robert Zemeckis, who has previously worked with Hanks on Forrest Gump and Castaway.\n'",/Arts & Entertainment/Movies
"b""Stars gear up for Bafta ceremony\n\nFilm stars from across the globe are preparing to walk the red carpet at this year's Bafta award ceremony.\n\nThe 2005 Orange British Academy Film Awards are being held at The Odeon in London's Leicester Square. A host of Hollywood stars, including Cate Blanchett, Leonardo DiCaprio, Keanu Reeves and Richard Gere, are expected to attend Saturday's ceremony. Hosted by Stephen Fry, the glittering ceremony will be broadcast on BBC One at 2010 GMT.\n\nOther actors expected to add to the glamour of the biggest night in UK film are Gael Garcia Bernal, Imelda Staunton, Diane Kruger, Christian Slater, Anjelica Huston, Helen Mirren and former James Bond star Pierce Brosnan. Hollywood blockbuster The Aviator, starring DiCaprio, leads the field with 14 nominations, including best film.\n\nIt is up against Eternal Sunshine of the Spotless Mind, Finding Neverland, The Motorcycle Diaries and British film Vera Drake, which has 11 nominations. British hope Imelda Staunton is one of the favourites to land the best actress award for her gritty role as a backstreet abortionist in the small-budget film. Other nominees in the best actress category include Charlize Theron for Monster, Ziyi Zhang for House of Flying Daggers and UK star Kate Winslet, who has two nods for her roles in Eternal Sunshine of the Spotless Mind and Finding Neverland.\n\nDiCaprio faces competition from Bernal, Jamie Foxx, Jim Carrey and Johnny Depp in the best actor category. And British actor Clive Owen is hoping to repeat his Golden Globe success with a best supporting actor award for his role in Closer. His co-star Natalie Portman is up against Blanchett, Heather Craney, Julie Cristie and Meryl Streep in the best supporting actress category. Mike Leigh is up for the best director award for Vera Drake, alongside Martin Scorsese for The Aviator, Michael Mann for Collateral, Michel Gondry for Eternal Sunshine of the Spotless Mind and Marc Forster for Finding Neverland.\n""",/Arts & Entertainment/Movies
"b""Aviator 'creator' in Oscars snub\n\nThe man who said he got Oscar-nominated movie The Aviator off the ground and signed up Leonardo DiCaprio has been shut out of the Academy Awards race.\n\nCharles Evans Jr battled over his role with the people who eventually made the film, and won a producer's credit. But he is not on the list of producers who can win a best film Oscar due to a limit on the number of nominees. The Oscars organisers have picked two of The Aviator's four producers to be nominated for best film.\n\nUp to three producers can be named per film but the studios behind The Aviator and Million Dollar Baby failed to trim their credits - so the Academy of Motion Pictures Arts and Sciences (Ampas) has done it for them. The Aviator's nominated producers are Michael Mann and Graham King - with Mr Evans and Sandy Climan, Mr Mann's former deputy, left off. Mr Evans sued Mr Mann in 2001, claiming he came up with the idea, spent years developing it and persuaded DiCaprio to play Hughes - but said he was later excluded from the project. The two sides settled out of court in a deal that has remained secret apart from the fact Mr Evans' name has appeared as a producer when the film's credits roll. At the Golden Globes, Mr Evans - who was named among the winners when the film won best drama film - evaded a security guard to have his photo taken with DiCaprio, director Martin Scorsese, Mr Mann and Mr King.\n\nAmpas decided to limit the number of producers who could be nominated after Shakespeare in Love's victory in 1999 saw five producers collect awards. The eligible names for The Aviator and Million Dollar Baby were decided by Ampas' producers branch executive committee on Wednesday. The decision also saw Clint Eastwood get his third personal nomination for Million Dollar Baby. He is now named in the best film category as well as being nominated for best director and best lead actor. The Academy Awards ceremony will be held in Hollywood on 27 February. Chinese actress Ziyi Zhang, star of Crouching Tiger, Hidden Dragon, Hero and House of Flying Daggers, is the latest name to be added to the list of presenters on the night.\n""",/Arts & Entertainment/Movies
"b'Wine comedy up for six film gongs\n\nSideways, a wine-tasting comedy starring Paul Giamatti, is up for six Independent Spirit Awards, the art-house version of the Oscars.\n\nThe awards are held on 26 February, the day before the Oscars. Spanish drama Maria Full of Grace, about a Colombian woman who becomes a drug courier, got five nominations. Controversial biopic Kinsey, starring Liam Neeson as sex researcher Alfred Kinsey, was one of four films to get four nominations. The awards, now in their 20th year, honour quirky low-budget films, all of which must have a degree of independent financing. Sideways is written and directed by Alexander Payne, who directed the 2002 hit About Schmidt, winning Jack Nicholson his 12th Academy Award nomination.\n\n""These awards, for better or worse, mean everything,"" said Sideways producer Michael London, adding they were a ""huge first step"" toward getting recognition from other awards. Among the other films receiving four nominations apiece were Brother to Brother, a drama about a young gay black man forced to live on the streets, Robbing Peter and Primer. Primer, a $7,000 (\xc2\xa33,650) tale of discovery, won top prize at the Sundance film festival earlier this year. Walter Salles critically acclaimed The Motorcycle Diaries and the forthcoming thriller The Woodsman, starring Kevin Bacon, received three nominations each. Also in the running, with two nominations, are high school comedy Napoleon Dynamite, The Door in the Floor and Garden State - written, directed and starring Scrubs star Zach Braff alongside Natalie Portman. The awards were announced by actors Selma Blair and Dennis Quaid in Los Angeles on Tuesday.\n'",/Arts & Entertainment/Movies
"b'No ads for Passion Oscar campaign\n\nProducer Mel Gibson will not be using paid advertisements to promote The Passion of the Christ to voters in next year\'s Academy Awards.\n\nGibson and his Icon Productions partner Bruce Davey said they would not be campaigning in print, radio or TV for success at the Oscars in February. ""This film should be judged on its artistic merit, not who spends more money on advertising,"" Davey said. But DVDs will be sent to Oscar voters, who will be invited to screenings. Icon spent very little on advertising the film, which deals with the last hours of Jesus Christ\'s life, when it was released earlier this year - instead, it made the film available for special screenings at churches. It went on to gross over $600m (\xc2\xa3322m) in ticket sales worldwide. Over recent years, marketing films to the members of the Academy of Motion Picture Arts and Sciences has become a multi-million dollar industry. Last year, the academy formed a committee to tighten the rules after the campaigns spilled over into personal attacks between studios. Academy president Frank Pierson praised Gibson\'s move for working to restore the Oscars as a ""celebration and appreciation of excellence,"" and resisting the ""crass commercialisation that was threatening the integrity of the award"".\n'",/Hobbies & Leisure/Merit Prizes & Contests
"b""Howl helps boost Japan's cinemas\n\nJapan's box office received a 3.8% boost last year, with ticket sales worth 211bn yen (\xc2\xa31.08bn).\n\nThe surge was led by animated movie Howl's Moving Castle, which took 20bn yen (\xc2\xa3102m) to become the biggest film in Japan in 2004. It is expected to match the 30.7bn yen (\xc2\xa3157m) record of Hayao Miyazaki's previous film Spirited Away. Japan Motion Picture Producers figures showed that 170 million cinema admissions were made in Japan in 2004. The Last Samurai, starring Tom Cruise, was the biggest foreign movie hit in Japan last year, taking 13.8bn yen (\xc2\xa370.7m).\n\nIt was followed by Harry Potter and the Prisoner of Azkaban, Finding Nemo and The Lord of the Rings: The Return of the King. The second highest-grossing Japanese film was romantic drama Crying Out Love in the Centre of the World, followed by Be With You and Pocket Monsters Advanced Generation. Japanese films accounted for 37.5% of Japan's box office total last year, with foreign films taking the remaining 62.5%. This represented a 4.5% gain for the proportion of Japanese films in 2004 compared to 2003. The number of Japanese films released rose to 310 in 2004 from 287 the previous year. Sales of movies on DVD and video amounted to 497bn yen (\xc2\xa32.54bn) for the year.\n""",/Arts & Entertainment/Movies
"b""Berlin applauds Hotel Rwanda\n\nPolitical thriller Hotel Rwanda was given a rousing reception by spectators at the Berlin Film Festival on Saturday.\n\nThe movie's star Don Cheadle also received a standing ovation when he stepped onto the stage after the show. The film is the true story of the hotel manager who saved 1,200 Tutsis from death during the Rwandan genocide. The film, showing out of competition in Berlin, is nominated for three Oscars, including best actor for Cheadle. Sophie Okonedo, who plays Cheadle's wife Tatiana, is nominated for best supporting actress. The film is also in the running for best original screenplay. Cheadle, was joined on stage at Berlin by Paul Rusesabagina, the hotel manager he plays in the film, Mr Rusesabagina's wife and his extended family, who fled Rwanda and now live in Belgium. Mr Rusesabagina used his influence as a prominent Hutu businessman to shelter potential victims of the Rwandan genocide, contacting dignitaries including Bill Clinton, the King of Belgium as well as the French foreign ministry. Hotel Rwanda is one of two films addressing the genocide at the 55th Berlin Film Festival, which runs until 20 February. Sometimes in April is a feature by Raoul Peck competing for the festival's coveted Golden and Silver Bear awards. The film was made exclusively in Rwanda whereas Hotel Rwanda was shot mostly in South Africa, with some scenes made in Kigali.\n""",/Arts & Entertainment/Movies
"b'\'Landmark movies\' of 2004 hailed\n\nUS film professionals have declared Fahrenheit 9/11 and The Passion of the Christ as two of the most significant cultural milestones of 2004.\n\nThe American Film Institute (AFI) hailed Mel Gibson\'s biblical epic and Michael Moore\'s political documentary as inspiring national debate. It claimed both film-makers ""tossed Hollywood convention out the window"". The Institute also cited the death of actor Marlon Brando and the changing landscape of TV news in the US. In referring to Marlon Brando\'s death on 1 July at the age of 80, the 13-strong AFI jury concluded ""the art of screen acting has two chapters - \'Before Brando\' and \'After Brando\'.\n\nIt credited the screen legend\'s ""raw hypnotic energy"" and his ability to create characters like Stanley Kowalski and Terry Malloy ""that will live forever in the annals of film history"". The list also acknowledges key influences and trends in the world of film and broadcasting. Among current trends, it highlighted the final broadcasts of veteran newscasters Tom Brokaw, Barbara Walters and the impending retirement of CBS news anchor Dan Rather. It its place, the AFI fears, is a news landscape where ""newscasters are more personalities than journalists"" and balance and integrity are increasingly ignored.\n\nThe AFI also questioned ""the long-term viability of evening news broadcasts"", in the light of 24-hour news channels and the internet. The list also draws attention to the growing influence of US broadcasting regulator, the Federal Communications Commission (FCC)\n\nThe institute concluded the threat of regulation, which went into freefall following Janet Jackson\'s \'wardrobe malfunction\' during a live Super Bowl performance in February, ""had a profound effect on television"". ""Unsure of how the FCC will rule on an issue, the creative community has begun to self-censor their shows, a disturbing trend in a country founded on free expression,"" the AFI jury declared. To illustrate their point, the AFI cited ABC affiliates refusal to air Steven Spielberg\'s film Saving Private Ryan in an unedited form over fears of possible fines.\n'",/Arts & Entertainment/Movies
"b'De Niro film leads US box office\n\nFilm star Robert De Niro has returned to the top of the North American box office with his film Hide and Seek.\n\nThe thriller shot straight to the number one spot after taking $22m (\xc2\xa311.7m) at the box office. De Niro recently spent three weeks at the top with comedy Meet The Fockers, which was at number five this week. Oscar hopefuls The Aviator, Million Dollar Baby and Sideways all cashed in on their multiple nominations with stronger ticket sales.\n\nIn Hide and Seek, De Niro plays a widower whose daughter has a creepy imaginary friend. Despite lukewarm reviews from critics, the film took more than the expected $18m (\xc2\xa39.5m). ""The element of a real actor in a psychological thriller certainly elevated it,"" said Bruce Snyder, president of domestic distribution at 20th Century Fox. Clint Eastwood\'s Million Dollar Baby led the Oscar hopefuls with $11.8m (\xc2\xa36.3m), coming in at number three during its first weekend of wide release. The Aviator, a film biography of Howard Hughes that leads the Oscar field with 11 nominations, was at number six for the weekend with $7.5m (\xc2\xa34m). Oscar best-picture nominee Sideways entered the top ten for the first time in its 15th week of release. It came in seventh $6.3 (\xc2\xa33.35m). Last week\'s top film, Ice Cube\'s road-trip comedy Are We There Yet?, slipped to second place with $17m (\xc2\xa39m), while Coach Carter fell two places to number four, taking $8m (\xc2\xa34.25m) in its third week. Rounding out the top ten were In Good Company - starring Dennis Quaid and Scarlett Johansson - Racing Stripes and Assault on Precinct 13.\n'",/Arts & Entertainment/Movies
"b'Foxx and Swank win US awards\n\nJamie Foxx and Hilary Swank have won the Screen Actors Guild Awards for best male and female film actors, boosting their Oscars hopes this month.\n\nFoxx\'s portrayal of late soul-singer Ray Charles in Ray had already earned him a prestigious Golden Globe award. Swank triumphed for playing a gutsy female boxer in Million Dollar Baby. Modest wine country comedy Sideways knocked out favourites Million Dollar Baby and The Aviator by taking the top prize for best cast performance.\n\nThe Screen Actors Guild (SAG) represents US film and TV actors. Its winners often go on to win Oscars. In other nominations, Cate Blanchett triumphed as the best supporting actress for her role as Katharine Hepburn in The Aviator. Veteran actor Morgan Freeman took the best supporting actor award for playing a prize-fighter turned gym manager in Million Dollar Baby.\n\n""Thank you for Ray Charles for just living so complex and so interesting, and making us all just come together,"" said Foxx, accepting his award in Los Angeles on Saturday.\n\nHe also praised the film director: ""Thank you for Taylor Hackford for taking a chance with an African-American film. Taylor, you\'re my director of the year."" Swank, too, was full of praise for her director and co-star Clint Eastwood. ""I bow down to you,"" Swank said to the 74-year-old Eastwood. ""You are a talent beyond compare. If I\'m half the person you are and half the talent you are when I\'m 74, I will know that I\'ve accomplished something great.""\n\nBoth Foxx and Swank are now considered to be among the favourites to get Oscars - the Hollywood\'s ultimate prize. However, Swank has to overcome a strong challenge from Annette Bening, a nominee for the theatre farce Being Julia. Meanwhile, ballots for Oscars - the Hollywood\'s top honours - were mailed earlier this week to members of the Academy of Motion Picture Arts and Sciences. The voting is due to end on 22 February - five days before the ceremony.\n'",/Arts & Entertainment/Movies
"b'Horror film heads US box office\n\nA low-budget horror film produced by Evil Dead director Sam Raimi has topped the North American box office.\n\nBoogeyman, which focuses on a man who returns to his childhood home to confront his traumatic past, took $19.5m (\xc2\xa314.9m) in three days. Last week\'s chart-topper, the Robert de Niro thriller Hide and Seek, fell to number four. Other new entries included The Wedding Date, a comedy starring Will and Grace\'s Debra Messing, at number two.\n\nThe road-trip comedy Are We There Yet? and multiple Oscar nominee Million Dollar Baby completed the top five. Other Oscar contenders, including The Aviator and Sideways, continued to perform strongly at the box office. The Aviator has taken $75m (\xc2\xa340m) so far, while Sideways has taken $46.8m (\xc2\xa324.8m) in a more limited release.\n\nBoogeyman, which cost just $7m (\xc2\xa33.5m) to make, performed well even though it was not screened to critics before release - normally a sign that a film will get bad reviews or perform poorly at the box office. ""I certainly believe it\'s a genre where people are going to be more moved by the marketing materials for the movie than by what the critics say,"" said Rory Bruer, head of distribution for Sony Pictures, which released the film in the US. Overall the weekend box office was strong despite the fact that it was American football\'s Super Bowl weekend - a time when cinema admissions generally fall. This year, the top 12 films grossed around $91m (\xc2\xa348.3m), compared to 2004\'s Super Bowl weekend when the total box office was $73.4m (\xc2\xa338.9m).\n'",/Arts & Entertainment/Movies
"b'Mumbai bombs movie postponed\n\nThe release of a film about the Mumbai (Bombay) blasts in 1993 has been postponed following protests by those on trial for the bombings.\n\nInvestigating the blasts which killed more than 250 people and wounded 1,000, the film Black Friday had been due to open across India on Friday. But 36 people accused in connection with the blasts said it should not be screened until the trial is over. Mumbai High Court postponed the film\'s launch until 3 February.\n\nBlack Friday is based upon the novel of the same name written by journalist S Hussain Zaidi, which looks at the 15 explosions which rocked Mumbai on 12 March 1993. Director Anurag Kashyap said the film\'s release should not be delayed as the book has already been on sale for two years. ""If you have not gone against the book, then how can you go against the movie?"" Mr Kashyap\'s lawyer Mihir Desai said. This is the second time that those accused in connection with the blasts have sought legal intervention regarding the film.\n\nThey previously asked that a line from the movie\'s poster, which claimed the film portrayed ""the true story of the Bombay bomb blasts"", be removed. Their lawyer, Majeed Memon, said: ""We had argued that how can a film say it is telling the true story when the court itself is struggling to find the truth? ""So we said they should remove the line from their promotional posters and they did give us an assurance that they would do so."" The Mumbai bombings case is one of India\'s longest-running trials. A special court was set up to hear the case and regular hearings have taken place there for the last nine years, with more than six hundred witnesses questioned.\n'",/Arts & Entertainment/Movies
"b'Brando \'rejected Godfather role\'\n\nLate film star Marlon Brando is said to have repeatedly turned down his Oscar-winning role in The Godfather.\n\nThe actor\'s friend Budd Schulberg told Vanity Fair magazine that Brando\'s assistant suggested he read the novel. The actor repeatedly refused, throwing the book at her and saying: ""For the last time, I won\'t glorify the mafia"". But Brando, who died last July at the age of 80, eventually took the role of Don Corleone, winning him an Oscar in 1973 which he notoriously refused. The actor sent a young woman dressed in Native American costume to refuse the award on his behalf and to draw attention to the plight of Native Americans.\n\nSchulberg told the magazine that Brando\'s assistant realised the film star had warmed to the idea of The Godfather role when he sported a drawn-on pencil moustache and asked: ""How do I look?"" His assistant, Alice Marchak, said that he looked like George Raft, an actor famed for playing gangsters on the silver screen. Every time she went to see Brando from then on, she added, he was wearing a different gangster-style moustache. Brando was asked to screen test for the role in The Godfather, as studio executives were said to be reluctant for the actor to play the part following problems on the set of Brando\'s previous film Mutiny on the Bounty . In fact Brando\'s Academy Award triumph revived his career. The actor was nominated for an Oscar the following year for his role in Bernardo Bertolucci\'s Last Tango in Paris. Before his death, Brando granted gaming company Electronic Arts the rights to use his voice and image in a video game based on the Godfather film and book and recorded voice-overs which closely resembled his role as Don Corleone. Brando\'s co-stars from The Godfather, James Caan and Robert Duvall, will also reprise their roles for the video game, it was confirmed on Wednesday.\n'",/Arts & Entertainment/Movies
"b'Berlin hails European cinema\n\nOrganisers say this year\'s Berlin Film Festival, which opens on Thursday with period epic Man to Man, will celebrate a revitalised European cinema.\n\nOf the 21 films in competition for the Golden and Silver Bear awards, more than half are from Europe with France particularly well represented. Festival director Dieter Kosslick says this strong showing signals ""a new consciousness for European films"". ""They\'re on an incredible winning streak,"" he told the Reuters agency. ""This isn\'t to say there aren\'t any good American films,"" he continued. ""It\'s just that there are more good European films.""\n\nHowever, Mr Kosslick refused to accept that widespread opposition to the Iraq war had turned audiences against Hollywood imports. ""There is no anti-American mood,"" he said. Some 350 films will be screened at this year\'s festival, with a further 300 shown at the European Film Market that runs alongside it. More than a dozen celebrities are scheduled to attend, among them Will Smith, Kevin Spacey and Keanu Reeves. But Mr Kosslick says more would be coming had the Academy Awards not been brought forward to 27 February. ""I\'m not worried that we won\'t be able to fill the red carpet with stars,"" he said, though he admitted the festival may be moved to January next year to avoid a similar clash. The 10-day Berlinale runs until 20 February.\n'",/Arts & Entertainment/Events & Listings/Film Festivals
"b'Director Nair\'s Vanity project\n\nIndian film director Mira Nair has said she was thrilled to be given the chance to make William Makepeace Thackeray\'s novel Vanity Fair - as the book has been a favourite through her life.\n\nThe book is one of the classics of English literature - the story of scheming 19th Century social climber Becky Sharp, played in the film by Reese Witherspoon. Nair said that she jumped at the chance to work on the film, which she has - controversially - made in a Bollywood style, including two song-and-dance routines in the film\'s second half. ""It was serendipity really - I was offered Vanity Fair by the studio Focus Features, who had distributed Monsoon Wedding,"" Nair told BBC World Service\'s Masterpiece programme. ""They offered me their next-best thing, not realising that Vanity Fair had actually been one of my favourite novels since I was 16 years old in an Irish Catholic boarding school in India.""\n\nSince her 1988 debut feature Salaam Bombay! - nominated for the Best Foreign Language Oscar and winner of Best First Feature at Cannes - Nair has become one of India\'s most famous and respected directors. She is not restricted to Bollywood, however - she followed Salaam Bombay! with Mississippi Masala, starring Denzel Washington, and The Perez Family, her first Hollywood film.\n\nHer career peaked with Monsoon Wedding in 2001, which won the Golden Lion award at Venice. Nair\'s Indian-style adaptation of Vanity Fair, however, has been attacked by critics in the US - where it only reached number eight at the box office in its opening week - who described the Bollywood elements as ""jarring."" The film has a new ending, with Becky Sharp running off for a new life in India. But Nair said that her film had picked up on the way Thackeray - who was born in India but moved to England as a young man - had seen the world. ""First, when I was 16, it was Becky Sharp, who is a completely memorable character, because I recognised myself in her - I recognised all the ladies who did not want to be ladies, who wanted to buck the system that they were in,"" she said. ""But it was the sort of novel I somehow kept at the side of my bed for many years, and I would dip into every now and then and suddenly get completely mesmerised again. ""As I got older and read it, I think it was Thackeray\'s clarity - his clear-sightedness about his own society, the fact that he was born in India but came to England as a young man - that gave him the eyes of an outsider, and yet he was an insider. ""That perspective was something I really loved.""\n\nNair also defended her decision to cast an American actress - Reese Witherspoon - as Becky Sharp, despite the fact that all the rest of the cast are British or Irish. ""I cast intuitively - in my films I cast as many non-actors as I cast actors,"" she said. ""For me, it is intuition - I have to fall in love with an actor. It is a visceral response.\n\n""Thackeray describes Becky Sharp as a minx. Also she\'s described as someone who\'s tiny, red-headed and thin. Reese had that completely minx-like irresistibility about her."" Having won the role because she seemed physically perfectly suited to the part, however, Witherspoon then became pregnant. But Nair said that, though this had created the need for some filming tricks, it had in fact also helped the film. ""It was a self-fulfilling prophesy - when I first met her husband [actor Ryan Philippe], I said \'knock her up, won\'t you, I need some flesh on the girl\',"" she joked. ""I\'m not a fan of the underfed Los Angeles actor at all. This was, for me, about Becky Sharp being, eventually, a full-blown woman through the course of the film. ""I love the luminosity that pregnancy brings, I love the fleshiness, I love the ample bosom - it gave me much more to play with."" Nair explained how camera tricks had been used to disguise Witherspoon\'s ""bump"" in various scenes - including hiring a number of young boys in costumes to stand in front of her. ""She runs, she gets off coal carts, she jumps off horses - she does everything,"" Nair said. ""But there\'s also a certain carriage with horses that is going to wipe the screen at a certain moment, because of the bump.""\n'",/Arts & Entertainment/Movies
"b""Spirit awards hail Sideways\n\nThe comedy Sideways has dominated this year's Independent Spirit Awards, winning all six of the awards for which it was nominated.\n\nIt was named best film while Alexander Payne won best director and best screenplay, along with writing partner Jim Taylor. It also won acting awards for stars Paul Giamatti, Thomas Haden Church and Virginia Madsen. Sideways is tipped to do well at Sunday's Oscars, with five nominations.\n\nThe awards, now in their 20th year, are given to films made outside the traditional studio system, and are traditionally held the day before the Oscars. Other winners included Catalina Sandino Moreno, who took best actress for her role as a drug smuggler in the Colombian drama Maria Full of Grace. Moreno is also nominated for best actress at the Oscars. The best first screenplay award went to Joshua Marston for Maria Full of Grace. Scrubs star Zach Braff won the award for best first feature for Garden State, which he wrote, directed and starred in. Oscar-nominated euthanasia film The Sea Inside from Spain won best foreign film, while Metallica: Some Kind Of Monster was awarded best documentary. Actor Rodrigo de la Serna took the best debut performance prize for The Motorcycle Diaries. The awards are voted for by the 9,000 members of the Independent Feature Project/Los Angeles, which includes actors, directors, writers and other industry professionals. Last year's big winner, Lost In Translation, went on to win the Oscar for best original screenplay, for writer-director Sofia Coppola.\n""",/Hobbies & Leisure/Merit Prizes & Contests
"b'Tautou film tops Cesar prize nods\n\nFrench film A Very Long Engagement has received 12 nominations for France\'s Cesar film awards, despite a recent ruling it was ""not French enough"".\n\nThe World War I romantic drama starring Audrey Tautou, was recently ruled ""too American"" by a Paris court as it was partially backed by Warner Bros. But the Cesar organisers modified their rules to allow the film to compete. The film, directed by Jean-Pierre Jeunet, received best actress, picture and director nominations.\n\nLast November a court judged the film was too American to compete in French film festivals. Two associations of French producers challenged Jeunet\'s right to French government subsidies, because Warner Bros was a backer. The ruling meant the movie - which was filmed in France and used French actors and technicians - was not eligible to compete for French prizes. But Alain Terzian, president of Cesar organisers, the Academie des Arts et Techniques du Cinema, said the changes in eligibility rules, which allow films ""of French expression"", were made three months prior to the court decision. Other films in the best film category include Police drama 36, Quai Des Orfevres, Arnaud Desplechin\'s Kings And Queen, Abdellatif Kechiche\'s L\'Esquive and France\'s number one film at the 2004 box-office The Chorus.\n\nBest actors are Daniel Auteuil for 36, Mathieu Amalric for Kings And Queen, Gerard Jugnot for The Chorus, Philippe Torreton for L\'Equipier and Benoit Poelvoorde for Podium. Tautou will compete against Maggie Cheung , Emmanuelle Devos, Yolande Moreau and Karin Viard for best actress. Michael Moore\'s Fahrenheit 9/11, The Motorcycle Diaries, Lost in Translation, Eternal Sunshine of the Spotless Mind and 21 Grams are all vying in the best foreign film prize. The awards ceremony will be held on 26 February. This year, Will Smith, star of I, Robot, Independence Day and Men In Black, will be given an honorary Cesar, along with French singer/actor, Jacques Dutronc.\n'",/Arts & Entertainment/Movies
"b'Hollywood ready for Oscars night\n\nHollywood is preparing for the biggest night in the film world\'s calendar, the 77th Academy Awards, on Sunday.\n\nA host of stars are expected to grace the red carpet outside Los Angeles\' Kodak Theatre, including Johnny Depp, Cate Blanchett and Leonardo DiCaprio. British actors in attendance include nominees Clive Owen, Imelda Staunton, Kate Winslet and director Mike Leigh. The Aviator leads the shortlist, but critics believe the night may belong to Clint Eastwood\'s Million Dollar Baby. A recent poll of US pundits found Eastwood\'s boxing drama had become the new favourite to win best film over the Howard Hughes biopic.\n\nIf the 74-year-old does win, he will become the oldest person ever to be named best director at the ceremony. UK critics still favour The Aviator for best film, but believe the best director title will generate a close fought battle between Eastwood and Martin Scorsese.\n\nScorsese has never won the best director prize, despite four previous nominations for films including Raging Bull, Goodfellas and Gangs of New York. Eastwood has won best director once before, for Unforgiven in 1993. Most experts predict the twice-nominated Jamie Foxx will win best actor for his portrayal of singer Ray Charles, while Vera Drake star Imelda Staunton looks likely to lose out in the best actress field to Hilary Swank in Million Dollar Baby. The UK\'s highest hopes remain with Clive Owen, who has scooped both the Golden Globe and the Bafta for his supporting role in Closer. Actor and comedian Chris Rock will host the event, which will be broadcast with a seven-second time delay to allow censors to cut out any unsuitable content.\n\n""We have the bleep machine ready, but bleeps will be used as needed,"" producer Gil Cates told reporters. However, he added that he strongly disapproved of the growing tendency to censor live broadcasts on US TV.\n\nHe also played down fears that Rock, who is known for using strong language in his stand-up routines, might cause controversy on the night. The 40-year-old comic has already promised not to swear live on air during the show. ""Chris has a sense of humour and everything he says is really said humorously,"" Cates said. ""You need a movie star and someone who is a stand-up comic so they can deal with the vicissitudes of the show."" Security will also be tight, with police employing a system to detect sarin nerve gas. ""We are pulling out all the stops,"" said John Miller, chief of counterterrorism at the Los Angeles Police Department. The show is ""a symbol of American culture and has the potential to be a high-visibility target,"" he added. Meanwhile, organisers have erected a canopy over the red carpet following an outbreak of torrential rain in Los Angeles over the past week. Cates said the covers would be removed if the threat of wet weather receded. Details have also emerged of the contents of this year\'s gift bags, which are given to nominees and presenters on the night. This year\'s bags will include a gift certificate for a luxury beach resort, a pair of mink eyelashes and a kitchen set with a year\'s supply of tea and coffee. The event will be televised by the ABC network from 1700 local time (0100 GMT), and on Sky Movies in the UK from 0130 GMT.\n'",/Hobbies & Leisure/Merit Prizes & Contests
"b""Animation charms Japan box office\n\nOscar-winning director Hayao Miyazaki's latest film has set a new Japanese box office record, with 1.5bn yen ($14.3m) in two days, according to reports.\n\nHowl's Moving Castle is the follow-up to Miyazaki's Spirited Away, which won best animation at last year's Oscars. It is based on the children's book by English writer Diana Wynne Jones. It has registered the highest opening weekend takings of any Japanese film in the country, according to trade publication Screen Daily.\n\nThe film is about an 18-year-old girl who is trapped in an old woman's body after being put under a spell by a witch. Its two-day takings represented 1.1 million cinema admissions, Screen Daily said. The film's distributor Toho expects 40 million people to see it in total - almost one third of the country's population - it added. The film won the Golden Osella for outstanding technical contribution at this year's Venice Film Festival.\n""",/Arts & Entertainment/Movies
