LAUS_code,state_fips,county_fips,county_state,year,labor_force,employed,unemployed,unemployment_rate
CN0502500000000,05,025,"Cleveland County, AR",2005,4236,3987,249,5.9
CN0502700000000,05,027,"Columbia County, AR",2005,10991,10289,702,6.4
CN0502900000000,05,029,"Conway County, AR",2005,9573,9079,494,5.2
CN0503100000000,05,031,"Craighead County, AR",2005,44677,42537,2140,4.8
CN0503300000000,05,033,"Crawford County, AR",2005,27191,26001,1190,4.4
CN0503500000000,05,035,"Crittenden County, AR",2005,22317,20849,1468,6.6
CN0503700000000,05,037,"Cross County, AR",2005,8427,7784,643,7.6
CN0503900000000,05,039,"Dallas County, AR",2005,3833,3563,270,7
CN0504100000000,05,041,"Desha County, AR",2005,6036,5510,526,8.7
CN0504300000000,05,043,"Drew County, AR",2005,8604,7871,733,8.5
CN0504500000000,05,045,"Faulkner County, AR",2005,51553,49245,2308,4.5
CN0504700000000,05,047,"Franklin County, AR",2005,8444,8080,364,4.3
CN0504900000000,05,049,"Fulton County, AR",2005,5051,4781,270,5.3
CN0505100000000,05,051,"Garland County, AR",2005,41566,39198,2368,5.7
CN0505300000000,05,053,"Grant County, AR",2005,8585,8165,420,4.9
CN0505500000000,05,055,"Greene County, AR",2005,18603,17516,1087,5.8
CN0505700000000,05,057,"Hempstead County, AR",2005,10811,10184,627,5.8
CN0505900000000,05,059,"Hot Spring County, AR",2005,15023,14226,797,5.3
CN0506100000000,05,061,"Howard County, AR",2005,6197,5851,346,5.6
CN0506300000000,05,063,"Independence County, AR",2005,17699,16615,1084,6.1
CN0506500000000,05,065,"Izard County, AR",2005,5207,4872,335,6.4
CN0506700000000,05,067,"Jackson County, AR",2005,7728,7082,646,8.4
CN0506900000000,05,069,"Jefferson County, AR",2005,36714,33914,2800,7.6
CN0507100000000,05,071,"Johnson County, AR",2005,10892,10358,534,4.9
CN0507300000000,05,073,"Lafayette County, AR",2005,3191,2952,239,7.5
CN0507500000000,05,075,"Lawrence County, AR",2005,7451,6892,559,7.5
CN0507700000000,05,077,"Lee County, AR",2005,3381,3023,358,10.6
CN0507900000000,05,079,"Lincoln County, AR",2005,5205,4810,395,7.6
CN0508100000000,05,081,"Little River County, AR",2005,6471,6166,305,4.7
CN0508300000000,05,083,"Logan County, AR",2005,9985,9491,494,4.9
CN0508500000000,05,085,"Lonoke County, AR",2005,30512,29143,1369,4.5
CN0508700000000,05,087,"Madison County, AR",2005,7764,7474,290,3.7
CN0508900000000,05,089,"Marion County, AR",2005,6741,6391,350,5.2
CN0509100000000,05,091,"Miller County, AR",2005,19547,18604,943,4.8
CN0509300000000,05,093,"Mississippi County, AR",2005,20023,18286,1737,8.7
CN0509500000000,05,095,"Monroe County, AR",2005,3830,3574,256,6.7
CN0509700000000,05,097,"Montgomery County, AR",2005,4304,4091,213,4.9
CN0509900000000,05,099,"Nevada County, AR",2005,4357,4104,253,5.8
CN0510100000000,05,101,"Newton County, AR",2005,3565,3383,182,5.1
CN0510300000000,05,103,"Ouachita County, AR",2005,12479,11597,882,7.1
CN0510500000000,05,105,"Perry County, AR",2005,4921,4668,253,5.1
CN0510700000000,05,107,"Phillips County, AR",2005,8760,7959,801,9.1
CN0510900000000,05,109,"Pike County, AR",2005,5110,4862,248,4.9
CN0511100000000,05,111,"Poinsett County, AR",2005,11380,10623,757,6.7
CN0511300000000,05,113,"Polk County, AR",2005,8622,8187,435,5
CN0511500000000,05,115,"Pope County, AR",2005,29303,27983,1320,4.5
CN0511700000000,05,117,"Prairie County, AR",2005,4273,4016,257,6
CN0511900000000,05,119,"Pulaski County, AR",2005,188891,179725,9166,4.9
CN0512100000000,05,121,"Randolph County, AR",2005,7801,7188,613,7.9
CN0512300000000,05,123,"St. Francis County, AR",2005,10711,9791,920,8.6
CN0512500000000,05,125,"Saline County, AR",2005,46911,44872,2039,4.3
CN0512700000000,05,127,"Scott County, AR",2005,4647,4435,212,4.6
CN0512900000000,05,129,"Searcy County, AR",2005,3391,3221,170,5
CN0513100000000,05,131,"Sebastian County, AR",2005,59129,56589,2540,4.3
CN0513300000000,05,133,"Sevier County, AR",2005,7586,7262,324,4.3
CN0513500000000,05,135,"Sharp County, AR",2005,6507,6036,471,7.2
CN0513700000000,05,137,"Stone County, AR",2005,4473,4181,292,6.5
CN0513900000000,05,139,"Union County, AR",2005,19953,18575,1378,6.9
CN0514100000000,05,141,"Van Buren County, AR",2005,6955,6524,431,6.2
CN0514300000000,05,143,"Washington County, AR",2005,99971,96587,3384,3.4
CN0514500000000,05,145,"White County, AR",2005,32218,30172,2046,6.4
CN0514700000000,05,147,"Woodruff County, AR",2005,3432,3116,316,9.2
CN0514900000000,05,149,"Yell County, AR",2005,10562,10117,445,4.2
CN0600100000000,06,001,"Alameda County, CA",2005,734383,696983,37400,5.1
CN0600300000000,06,003,"Alpine County, CA",2005,526,484,42,8
CN0600500000000,06,005,"Amador County, CA",2005,17201,16241,960,5.6
CN0600700000000,06,007,"Butte County, CA",2005,98326,91703,6623,6.7
CN0600900000000,06,009,"Calaveras County, CA",2005,20532,19253,1279,6.2
CN0601100000000,06,011,"Colusa County, CA",2005,9881,8629,1252,12.7
CN0601300000000,06,013,"Contra Costa County, CA",2005,509956,485332,24624,4.8
CN0601500000000,06,015,"Del Norte County, CA",2005,10737,9942,795,7.4
CN0601700000000,06,017,"El Dorado County, CA",2005,91067,86721,4346,4.8
CN0601900000000,06,019,"Fresno County, CA",2005,407216,370692,36524,9
CN0602100000000,06,021,"Glenn County, CA",2005,11537,10568,969,8.4
CN0602300000000,06,023,"Humboldt County, CA",2005,59534,55907,3627,6.1
CN0602500000000,06,025,"Imperial County, CA",2005,60583,50934,9649,15.9
CN0602700000000,06,027,"Inyo County, CA",2005,9283,8830,453,4.9
CN0602900000000,06,029,"Kern County, CA",2005,326802,299495,27307,8.4
CN0603100000000,06,031,"Kings County, CA",2005,53848,48771,5077,9.4
CN0603300000000,06,033,"Lake County, CA",2005,25988,23933,2055,7.9
CN0603500000000,06,035,"Lassen County, CA",2005,12249,11268,981,8
CN0603700000000,06,037,"Los Angeles County, CA",2005,4787286,4532874,254412,5.3
CN0603900000000,06,039,"Madera County, CA",2005,61892,57032,4860,7.9
CN0604100000000,06,041,"Marin County, CA",2005,129120,124128,4992,3.9
CN0604300000000,06,043,"Mariposa County, CA",2005,8791,8233,558,6.3
CN0604500000000,06,045,"Mendocino County, CA",2005,43849,41337,2512,5.7
CN0604700000000,06,047,"Merced County, CA",2005,98752,88905,9847,10
CN0604900000000,06,049,"Modoc County, CA",2005,4002,3684,318,7.9
CN0605100000000,06,051,"Mono County, CA",2005,8342,7939,403,4.8
CN0605300000000,06,053,"Monterey County, CA",2005,206604,191585,15019,7.3
CN0605500000000,06,055,"Napa County, CA",2005,71341,68233,3108,4.4
CN0605700000000,06,057,"Nevada County, CA",2005,49247,46897,2350,4.8
CN0605900000000,06,059,"Orange County, CA",2005,1586227,1527005,59222,3.7
CN0606100000000,06,061,"Placer County, CA",2005,164281,157225,7056,4.3
CN0606300000000,06,063,"Plumas County, CA",2005,10134,9281,853,8.4
CN0606500000000,06,065,"Riverside County, CA",2005,852711,807102,45609,5.3
CN0606700000000,06,067,"Sacramento County, CA",2005,664444,631679,32765,4.9
CN0606900000000,06,069,"San Benito County, CA",2005,24503,22532,1971,8
CN0607100000000,06,071,"San Bernardino County, CA",2005,851617,807388,44229,5.2
CN0607300000000,06,073,"San Diego County, CA",2005,1490071,1426095,63976,4.3
CN0607500000000,06,075,"San Francisco County/city, CA",2005,413409,392855,20554,5
CN0607700000000,06,077,"San Joaquin County, CA",2005,283627,261361,22266,7.9
CN0607900000000,06,079,"San Luis Obispo County, CA",2005,131505,125914,5591,4.3
CN0608100000000,06,081,"San Mateo County, CA",2005,360365,345111,15254,4.2
CN0608300000000,06,083,"Santa Barbara County, CA",2005,213243,204015,9228,4.3
CN0608500000000,06,085,"Santa Clara County, CA",2005,815499,772259,43240,5.3
CN0608700000000,06,087,"Santa Cruz County, CA",2005,143018,134065,8953,6.3
CN0608900000000,06,089,"Shasta County, CA",2005,81760,75847,5913,7.2
CN0609100000000,06,091,"Sierra County, CA",2005,1581,1450,131,8.3
CN0609300000000,06,093,"Siskiyou County, CA",2005,18650,16974,1676,9
CN0609500000000,06,095,"Solano County, CA",2005,208522,197396,11126,5.3
CN0609700000000,06,097,"Sonoma County, CA",2005,253459,242272,11187,4.4
CN0609900000000,06,099,"Stanislaus County, CA",2005,226659,207643,19016,8.4
CN0610100000000,06,101,"Sutter County, CA",2005,40005,36155,3850,9.6
CN0610300000000,06,103,"Tehama County, CA",2005,25203,23477,1726,6.8
CN0610500000000,06,105,"Trinity County, CA",2005,5171,4643,528,10.2
CN0610700000000,06,107,"Tulare County, CA",2005,183327,166064,17263,9.4
CN0610900000000,06,109,"Tuolumne County, CA",2005,25988,24319,1669,6.4
CN0611100000000,06,111,"Ventura County, CA",2005,416025,396331,19694,4.7
CN0611300000000,06,113,"Yolo County, CA",2005,92375,87261,5114,5.5
CN0611500000000,06,115,"Yuba County, CA",2005,25687,23374,2313,9
CN0800100000000,08,001,"Adams County, CO",2005,210632,198527,12105,5.7
CN0800300000000,08,003,"Alamosa County, CO",2005,8165,7716,449,5.5
CN0800500000000,08,005,"Arapahoe County, CO",2005,299727,284458,15269,5.1
CN0800700000000,08,007,"Archuleta County, CO",2005,6003,5692,311,5.2
CN0800900000000,08,009,"Baca County, CO",2005,2275,2187,88,3.9
CN0801100000000,08,011,"Bent County, CO",2005,2387,2237,150,6.3
CN0801300000000,08,013,"Boulder County, CO",2005,168583,161119,7464,4.4
CN0801400000000,08,014,"Broomfield County/city, CO",2005,24586,23391,1195,4.9
CN0801500000000,08,015,"Chaffee County, CO",2005,8206,7766,440,5.4
CN0801700000000,08,017,"Cheyenne County, CO",2005,1354,1312,42,3.1
CN0801900000000,08,019,"Clear Creek County, CO",2005,5856,5579,277,4.7
CN0802100000000,08,021,"Conejos County, CO",2005,3790,3494,296,7.8
CN0802300000000,08,023,"Costilla County, CO",2005,1351,1214,137,10.1
CN0802500000000,08,025,"Crowley County, CO",2005,1610,1482,128,8
CN0802700000000,08,027,"Custer County, CO",2005,2021,1925,96,4.8
CN0802900000000,08,029,"Delta County, CO",2005,15306,14534,772,5
CN0803100000000,08,031,"Denver County/city, CO",2005,303022,285717,17305,5.7
CN0803300000000,08,033,"Dolores County, CO",2005,981,913,68,6.9
CN0803500000000,08,035,"Douglas County, CO",2005,143367,137397,5970,4.2
CN0803700000000,08,037,"Eagle County, CO",2005,28499,27404,1095,3.8
CN0803900000000,08,039,"Elbert County, CO",2005,12938,12345,593,4.6
CN0804100000000,08,041,"El Paso County, CO",2005,290271,274863,15408,5.3
CN0804300000000,08,043,"Fremont County, CO",2005,19314,18119,1195,6.2
CN0804500000000,08,045,"Garfield County, CO",2005,29888,28766,1122,3.8
CN0804700000000,08,047,"Gilpin County, CO",2005,3349,3187,162,4.8
CN0804900000000,08,049,"Grand County, CO",2005,8414,8070,344,4.1
CN0805100000000,08,051,"Gunnison County, CO",2005,9037,8680,357,4
CN0805300000000,08,053,"Hinsdale County, CO",2005,598,581,17,2.8
CN0805500000000,08,055,"Huerfano County, CO",2005,3268,3013,255,7.8
CN0805700000000,08,057,"Jackson County, CO",2005,1138,1093,45,4
CN0805900000000,08,059,"Jefferson County, CO",2005,305519,290445,15074,4.9
CN0806100000000,08,061,"Kiowa County, CO",2005,879,843,36,4.1
CN0806300000000,08,063,"Kit Carson County, CO",2005,4354,4205,149,3.4
CN0806500000000,08,065,"Lake County, CO",2005,3937,3742,195,5
CN0806700000000,08,067,"La Plata County, CO",2005,29858,28719,1139,3.8
CN0806900000000,08,069,"Larimer County, CO",2005,166484,159153,7331,4.4
CN0807100000000,08,071,"Las Animas County, CO",2005,8148,7735,413,5.1
CN0807300000000,08,073,"Lincoln County, CO",2005,3036,2911,125,4.1
CN0807500000000,08,075,"Logan County, CO",2005,10648,10219,429,4
CN0807700000000,08,077,"Mesa County, CO",2005,71044,67545,3499,4.9
CN0807900000000,08,079,"Mineral County, CO",2005,460,437,23,5
CN0808100000000,08,081,"Moffat County, CO",2005,7858,7506,352,4.5
CN0808300000000,08,083,"Montezuma County, CO",2005,12902,12223,679,5.3
CN0808500000000,08,085,"Montrose County, CO",2005,19805,18867,938,4.7
CN0808700000000,08,087,"Morgan County, CO",2005,14328,13714,614,4.3
CN0808900000000,08,089,"Otero County, CO",2005,9355,8755,600,6.4
CN0809100000000,08,091,"Ouray County, CO",2005,2943,2841,102,3.5
CN0809300000000,08,093,"Park County, CO",2005,9669,9212,457,4.7
CN0809500000000,08,095,"Phillips County, CO",2005,2285,2205,80,3.5
CN0809700000000,08,097,"Pitkin County, CO",2005,11119,10671,448,4
CN0809900000000,08,099,"Prowers County, CO",2005,7461,7106,355,4.8
CN0810100000000,08,101,"Pueblo County, CO",2005,69563,64792,4771,6.9
CN0810300000000,08,103,"Rio Blanco County, CO",2005,3992,3851,141,3.5
CN0810500000000,08,105,"Rio Grande County, CO",2005,6541,6158,383,5.9
CN0810700000000,08,107,"Routt County, CO",2005,14563,14025,538,3.7
CN0810900000000,08,109,"Saguache County, CO",2005,3084,2852,232,7.5
CN0811100000000,08,111,"San Juan County, CO",2005,510,473,37,7.3
CN0811300000000,08,113,"San Miguel County, CO",2005,5228,5004,224,4.3
CN0811500000000,08,115,"Sedgwick County, CO",2005,1621,1571,50,3.1
CN0811700000000,08,117,"Summit County, CO",2005,16316,15694,622,3.8
CN0811900000000,08,119,"Teller County, CO",2005,12639,12010,629,5
CN0812100000000,08,121,"Washington County, CO",2005,2763,2657,106,3.8
CN0812300000000,08,123,"Weld County, CO",2005,111458,105323,6135,5.5
CN0812500000000,08,125,"Yuma County, CO",2005,6080,5888,192,3.2
CN0900100000000,09,001,"Fairfield County, CT",2005,451156,431609,19547,4.3
CN0900300000000,09,003,"Hartford County, CT",2005,437213,414347,22866,5.2
CN0900500000000,09,005,"Litchfield County, CT",2005,102041,97426,4615,4.5
CN0900700000000,09,007,"Middlesex County, CT",2005,89164,85412,3752,4.2
CN0900900000000,09,009,"New Haven County, CT",2005,429293,406718,22575,5.3
CN0901100000000,09,011,"New London County, CT",2005,143925,137544,6381,4.4
CN0901300000000,09,013,"Tolland County, CT",2005,80703,77354,3349,4.1
CN0901500000000,09,015,"Windham County, CT",2005,60809,57528,3281,5.4
CN1000100000000,10,001,"Kent County, DE",2005,72143,69289,2854,4
CN1000300000000,10,003,"New Castle County, DE",2005,270827,257751,13076,4.8
CN1000500000000,10,005,"Sussex County, DE",2005,90407,86789,3618,4
CN1100100000000,11,001,District of Columbia,2005,318130,295907,22223,7
CN1200100000000,12,001,"Alachua County, FL",2005,122826,120035,2791,2.3
CN1200300000000,12,003,"Baker County, FL",2005,11039,10761,278,2.5
CN1200500000000,12,005,"Bay County, FL",2005,81803,79548,2255,2.8
CN1200700000000,12,007,"Bradford County, FL",2005,11633,11344,289,2.5
CN1200900000000,12,009,"Brevard County, FL",2005,258490,251204,7286,2.8
CN1201100000000,12,011,"Broward County, FL",2005,950331,923158,27173,2.9
CN1201300000000,12,013,"Calhoun County, FL",2005,5207,5055,152,2.9
CN1201500000000,12,015,"Charlotte County, FL",2005,65537,63490,2047,3.1
CN1201700000000,12,017,"Citrus County, FL",2005,50865,49173,1692,3.3
CN1201900000000,12,019,"Clay County, FL",2005,86034,83740,2294,2.7
CN1202100000000,12,021,"Collier County, FL",2005,144103,140216,3887,2.7
CN1202300000000,12,023,"Columbia County, FL",2005,28539,27783,756,2.6
CN1202700000000,12,027,"DeSoto County, FL",2005,13425,12949,476,3.5
CN1202900000000,12,029,"Dixie County, FL",2005,5507,5344,163,3
CN1203100000000,12,031,"Duval County, FL",2005,418048,405061,12987,3.1
CN1203300000000,12,033,"Escambia County, FL",2005,134594,130559,4035,3
CN1203500000000,12,035,"Flagler County, FL",2005,29705,28695,1010,3.4
CN1203700000000,12,037,"Franklin County, FL",2005,5097,4954,143,2.8
CN1203900000000,12,039,"Gadsden County, FL",2005,20323,19710,613,3
CN1204100000000,12,041,"Gilchrist County, FL",2005,7441,7258,183,2.5
CN1204300000000,12,043,"Glades County, FL",2005,4251,4089,162,3.8
CN1204500000000,12,045,"Gulf County, FL",2005,6277,6115,162,2.6
CN1204700000000,12,047,"Hamilton County, FL",2005,4577,4433,144,3.1
CN1204900000000,12,049,"Hardee County, FL",2005,11263,10844,419,3.7
CN1205100000000,12,051,"Hendry County, FL",2005,17094,16103,991,5.8
CN1205300000000,12,053,"Hernando County, FL",2005,56497,54344,2153,3.8
CN1205500000000,12,055,"Highlands County, FL",2005,39628,38327,1301,3.3
CN1205700000000,12,057,"Hillsborough County, FL",2005,565819,549313,16506,2.9
CN1205900000000,12,059,"Holmes County, FL",2005,8304,8071,233,2.8
CN1206100000000,12,061,"Indian River County, FL",2005,58884,56691,2193,3.7
CN1206300000000,12,063,"Jackson County, FL",2005,20905,20332,573,2.7
CN1206500000000,12,065,"Jefferson County, FL",2005,6770,6605,165,2.4
CN1206700000000,12,067,"Lafayette County, FL",2005,2781,2716,65,2.3
CN1206900000000,12,069,"Lake County, FL",2005,117411,113953,3458,2.9
CN1207100000000,12,071,"Lee County, FL",2005,270977,264219,6758,2.5
CN1207300000000,12,073,"Leon County, FL",2005,136832,133491,3341,2.4
CN1207500000000,12,075,"Levy County, FL",2005,16449,15963,486,3
CN1207700000000,12,077,"Liberty County, FL",2005,3279,3207,72,2.2
CN1207900000000,12,079,"Madison County, FL",2005,7364,7097,267,3.6
CN1208100000000,12,081,"Manatee County, FL",2005,143590,139725,3865,2.7
CN1208300000000,12,083,"Marion County, FL",2005,126859,123126,3733,2.9
CN1208500000000,12,085,"Martin County, FL",2005,64118,62142,1976,3.1
CN1208600000000,12,086,"Miami-Dade County, FL",2005,1133105,1106002,27103,2.4
CN1208700000000,12,087,"Monroe County, FL",2005,45249,44299,950,2.1
CN1208900000000,12,089,"Nassau County, FL",2005,32499,31661,838,2.6
CN1209100000000,12,091,"Okaloosa County, FL",2005,96029,93935,2094,2.2
CN1209300000000,12,093,"Okeechobee County, FL",2005,17043,16401,642,3.8
CN1209500000000,12,095,"Orange County, FL",2005,549848,534473,15375,2.8
CN1209700000000,12,097,"Osceola County, FL",2005,115535,112105,3430,3
CN1209900000000,12,099,"Palm Beach County, FL",2005,599387,579306,20081,3.4
